c173ad4 换为java17，使用多行文本
2570e75 尝试使用mybatis-plus，可以减少单表的sql，不然一旦数据库有改动，就得满世界找对应的sql，维护起来很麻烦
b5aa4e5 玩家可以摘苹果，树上的苹果数目有限，每个玩家每天可以摘的苹果数目也有限，每天早上树的苹果数目会恢复
0094199 更新TO-DO
4457bd4 生成建筑时会在周围生成生物
5fd4d29 建筑物类型有基本尺寸和稀有度
8669b20 管理员可以在地图上生成随机建筑
63b3e1f 添加小地图，但发现不好看
3c85031 修复穿墙bug
1b07fe1 添加迷宫
3591fb0 分离建筑模块和地图模块
1b76182 未登录跳转到登录界面
6396ac5 不同客户端之间同步位置信息
f3fe1a9 防止右键点击时浏览器的默认行为（例如显示上下文菜单）
1914e70 属性列表显示描述信息
a0f6730 显示任何类型的角色的信息
3d1f343 修复图片不清晰的问题
6503ef7 解决猫的问题；更换猫的素材；phaser缩放
f0af29c 从后端获得角色列表
9a4f647 使用lombok注解bean，而不生成getter和setter
955c65e 将玩家模块迁移到角色模块，创建角色类型表
7b3ca75 添加角色类型表
991b354 添加角色模块
3a5a971 添加角色模块
7ee32c4 美化背景纹理，并添加素材来源说明
254d465 使用 Perlin 噪声生成地图
5af4a7e 在背景添加纹理
8ae91d9 处理寻路时路径不存在的情况
ab4ab73 寻路时，如果终点是建筑，提前几步终止，防止到达终点后因为卡进建筑而抖动
0ec23c7 点击建筑物时先走到建筑物旁，随后触发到达事件
913fcbc 使用补间动画重写玩家移动
42f4ac9 使用补间动画重写用户移动；废弃观察者模式
9972350 更新to-do
dc04bfa 更新TO-DO
6107d64 寻路算法：如果坐标在出发点或者目标点附近（距离小于物体大小），那么直接认为可以容下物体
0e6f196 玩家偏离路线后只有一定概率重新寻路，以节约开销
7ae5a07 寻路算法：如果起点和终点本身可达，但是周围不能容下物体，那么启动强力模式（无视物体宽高）
73d68af 移动时自动避开障碍物
a4d8e95 继续优化物体移动逻辑
1fc8dd2 物体移动的更加流畅
a45a58f 高速物体也能正常移动
977abfe 前端获得正确的坐标；修复后端地图宽和高写反的bug
9f24a6f 观察者报错后不影响后续运行
faad142 修复A*算法的bug
63a960a 玩家可以开始移动
6daa218 完成寻路算法的后端
e1b947d 从后端获得地图尺寸和建筑列表
d3d7666 开始观察者模块；限制一个用户只能有一个websession；合并WSEvent和WSResponseEvent；
d489cd3 建筑模块构建出bitmap
bc68515 使用uuid生成随机名字
9936dc9 使用uuid生成随机名字
88827c2 添加稀有度属性
d40fda5 完成坐标映射
eedfbb7 生成bitmap
a5a5ea4 升级会永久提升自己各方面的属性值
58c5f86 修复物品不减少的bug；将数据库变量改为下划线命名
eed6824 可以使用物品更新玩家的属性
debf524 判断物品能否使用
8952b8d 合并食物和物品
9e79a84 完成物品模块
e8c8ac1 更新文档
7973ed2 背包中显示本人属性信息
11c932c 属性列表显示物品的属性信息
6e8d4a5 实现玩家模块的后端
084003f 为用户名添加user_前缀；修改密码界面显示用户名
b565fa6 检查用户名长度
d13282c 更新npc的设计文档
8dcdfe6 完成账号模块（检查是否登录、更改密码、登出等）
969f9bb 完成注册功能
6f3f20c 前端反向代理；并完成登录功能
29e66ee 使用provide & inject的方式显示提示框
48bdfb0 完成封禁用户和解禁用户
d11814e 使用自定义的异常处理异常情况
31a4c0e 完成账号模块的设计文档，以及创建数据库表
3784f48 更新设计文档
25de581 删除无缝贴图
32cc814 更换无缝贴图
991ce43 无缝贴图
9e16714 GridItems的tab也增添了选中时tab变色的功能
4236917 当前tab使用不同颜色显示
10b9ad9 修改密码界面
78b0091 重构登录页面（主页）
3443503 引入事件系统
9c770bb 修改通信格式
00848d6 修改通信格式
20b65a5 更新需求文档
4b4d932 添加地图选择界面
fed38d6 禁止手机访问
f6d11f9 前端添加是否记住密码
2847ee2 测试MySaTokenUtils
af8cca8 删除临时代码
517efaf 完成登录、注册、登出的后端逻辑
6d405dd 从数据库中获取用户的角色
9808744 登录和注册前判断是否已经登陆
a5c2dd0 更改bean的命名；实现是否记住密码的选择；同时只能登录一处（之前的token被标注为被顶下线）
6d2f376 sa-token集成redis
ede5d24 使用sa-token替代shiro
38a4ec9 更新写错的注释
9725cef 修复shiro导致很多spring注解坏掉的bug，解决方法是禁用shiro的注解
28f31b4 重写shiro配置
d131638 为redis增添注释
b0dfb50 websocket在连接时需要通过shiro验证是否登录
9c62aa7 完成注册与登录，加入shiro
ceb6449 springboot使用注解集成redis
57983d1 主页背景动画加载完成时才播放
7909627 将主页背景换成圆形碰撞
4904539 springboot集成redis
b15737e 更改文档结构
0d6a82a 完成自动生成形状的脚本
a2d7b00 坐标位于下方的物体始终处于位于坐标位于上方的物体的上层
d8eafc9 添加进度条
a3153a2 压缩图片
7f436d7 更新需求分析文档，并添加攻击、防御、速度这些属性
b9c3cc9 卸下装备、食用食物、装备装备、放置宠物、更新苹果图片
e9dca1d 修复nginx刷新404的问题
dbb2e83 实现装备栏
392d331 更新图标
61a4d66 完成卖出商店界面
21dcc6a 实现购买商品的页面
76ce23e 用插槽的方式重构NavGroup
42e649a 使navgroup自己管理标签，在背包和商店中添加物品的数目，能同时显示多个FadeInfo，修改短时间多次碰撞的bug，
c2f4790 修复访问/game 404 的bug
49e89a5 物品点击事件，商店界面
eabc6a7 使用组件化的方式重构背包
d7b952f 添加狗、苹果，更新玩家形象
9f63681 实现树以及摘苹果
38f8bc4 完成带OK按钮的弹出框
ee8478d 完成渐变消失的弹出框
01460c4 通过javaBean进行websocket通信
4d4b0cc 实现websocket通信
6e32103 点击商店背景时不会促发点击事件
bf831f5 实现点击商店背景时不会促发点击事件
